year,state,district,party,committee_type,ad_spending
2004,VA,9,rep,5,529
2004,VA,9,rep,3,7353
2004,VA,9,rep,2,24800
2004,VA,10,dem,1,138171
2004,VA,10,dem,3,1714
2004,VA,10,rep,1,496331
2004,VA,10,rep,3,2013
2004,VA,11,dem,1,2476
2004,VA,11,rep,1,14827
2004,WA,2,dem,1,503825
2004,WA,2,dem,3,4036
2004,WA,2,rep,1,13210
2004,WA,2,rep,3,56
2004,WA,3,dem,1,135226
2004,WA,3,rep,1,6085
2004,WA,4,dem,1,232218
2004,WA,4,rep,1,2030
2004,WA,5,dem,1,718685
2004,WA,5,dem,3,21342
2004,WA,5,dem,2,803028
2004,WA,5,rep,1,923294
2004,WA,5,rep,3,13705
2004,WA,5,rep,2,708625
2004,WA,8,dem,1,954610
2004,WA,8,dem,3,39602
2004,WA,8,dem,2,2366691
2004,WA,8,rep,1,921907
2004,WA,8,rep,3,3241
2004,WA,8,rep,2,3655882
2004,WI,1,dem,1,1104
2004,WI,1,rep,1,93714
2004,WI,2,dem,1,4099
2004,WI,2,rep,1,13607
2004,WI,3,dem,1,563366
2004,WI,3,rep,1,114781
2004,WI,3,rep,3,530
2004,WI,4,dem,1,251583
2004,WI,4,dem,5,831
2004,WI,4,dem,3,53035
2004,WI,4,rep,1,18868
2004,WV,2,dem,1,51839
2004,WV,2,rep,1,300
2004,WV,2,rep,3,644
2004,WY,1,dem,1,273933
2004,WY,1,rep,1,5585
2004,WY,1,rep,3,1829
2006,AK,1,dem,1,73787
2006,AK,1,rep,1,498408
2006,AL,1,dem,1,4510
2006,AL,1,rep,1,218324
2006,AL,2,dem,1,162
2006,AL,2,rep,1,2377
2006,AL,3,dem,1,787
2006,AL,3,rep,1,227965
2006,AR,1,dem,1,7139
2006,AR,1,rep,1,20714
2006,AR,2,dem,1,160854
2006,AR,2,rep,1,43050
2006,AR,2,rep,3,139
2006,AR,3,dem,1,59499
2006,AR,3,rep,1,244583
2006,AZ,1,dem,1,2630
2006,AZ,1,dem,5,4409
2006,AZ,1,dem,3,80043
2006,AZ,1,rep,1,223803
2006,AZ,1,rep,5,4
2006,AZ,1,rep,3,23932
2006,AZ,1,rep,2,24141
2006,AZ,3,dem,1,52215
2006,AZ,3,rep,1,100759
2006,AZ,3,rep,3,33
2006,AZ,7,dem,1,36076
2006,AZ,7,dem,5,4
2006,AZ,7,rep,1,36495
2006,AZ,7,rep,3,251
2006,AZ,8,dem,1,73782
2006,AZ,8,dem,3,89341
2006,AZ,8,dem,2,290782
2006,AZ,8,rep,1,568593
2006,AZ,8,rep,3,185770
2006,AZ,8,rep,2,107996
2006,CA,2,dem,1,1076
2006,CA,2,rep,1,96056
2006,CA,3,dem,1,151384
2006,CA,3,rep,1,48376
2006,CA,4,dem,1,1032783
2006,CA,4,dem,5,7917
2006,CA,4,dem,3,53927
2006,CA,4,rep,1,1222613
2006,CA,4,rep,5,2
2006,CA,4,rep,3,20085
2006,CA,4,rep,2,278032
2006,CA,8,dem,1,16656
2006,CA,8,dem,5,4
2006,CA,8,rep,1,3514
2006,CA,8,rep,3,4500
2006,CA,11,dem,1,1049777
2006,CA,11,dem,5,530577
2006,CA,11,dem,3,561643
2006,CA,11,dem,2,217184
2006,CA,11,rep,1,2921104
2006,CA,11,rep,3,55899
2006,CA,11,rep,2,1371452
2006,CA,13,dem,1,36928
2006,CA,13,rep,1,3895
2006,CA,15,dem,1,8326
2006,CA,15,rep,1,13140
2006,CA,18,dem,1,162252
2006,CA,18,dem,3,13
2006,CA,18,rep,1,22990
2006,CA,18,rep,3,2240
2006,CA,21,dem,1,96121
2006,CA,21,rep,1,158499
2006,CA,23,dem,1,21408
2006,CA,23,dem,5,54
2006,CA,23,dem,3,24
2006,CA,23,rep,1,42358
2006,CA,23,rep,3,11
2006,CA,24,dem,1,7743
2006,CA,24,dem,3,24
2006,CA,24,rep,1,57383
2006,CA,24,rep,5,13857
2006,CA,25,dem,1,3155
2006,CA,25,dem,3,5021
2006,CA,25,rep,1,37481
2006,CA,27,dem,1,19819
2006,CA,27,dem,5,4
2006,CA,27,rep,1,28852
2006,CA,40,dem,1,33502
2006,CA,40,rep,1,105670
2006,CA,44,dem,1,1240
2006,CA,44,rep,1,4738
2006,CA,45,dem,1,12789
2006,CA,45,dem,3,4213
2006,CA,45,rep,1,396648
2006,CA,47,dem,1,393236
2006,CA,47,rep,1,40740
2006,CA,48,dem,1,210401
2006,CA,48,rep,1,151890
2006,CA,48,rep,3,4290
2006,CA,48,rep,2,258421
2006,CA,51,dem,1,852355
2006,CA,51,dem,5,4
2006,CA,51,rep,1,8481
2006,CA,52,dem,1,22167
2006,CA,52,rep,1,65235
2006,CA,53,dem,1,1629
2006,CA,53,dem,5,54
2006,CA,53,rep,1,58019
2006,CO,3,dem,1,2778
2006,CO,3,dem,2,31246
2006,CO,3,rep,1,359204
2006,CO,3,rep,3,9490
2006,CO,4,dem,1,2312
2006,CO,4,dem,3,239636
2006,CO,4,dem,2,353593
2006,CO,4,rep,1,1526344
2006,CO,4,rep,3,25317
2006,CO,4,rep,2,1719575
2006,CO,5,dem,1,243674
2006,CO,5,dem,3,1371
2006,CO,5,rep,1,17500
2006,CO,5,rep,3,43479
2006,CO,5,rep,2,149445
2006,CO,6,dem,1,30255
2006,CO,6,dem,3,1452
2006,CO,6,rep,1,5871
2006,CT,2,dem,1,1740661
2006,CT,2,dem,3,6449
2006,CT,2,dem,2,2063218
2006,CT,2,rep,1,14400
2006,CT,2,rep,5,2668
2006,CT,2,rep,3,24522
2006,CT,2,rep,2,2701874
2006,CT,4,dem,1,1803060
2006,CT,4,dem,3,356705
2006,CT,4,dem,2,1638139
2006,CT,4,rep,1,152231
2006,CT,4,rep,5,3550
2006,CT,4,rep,3,661
2006,CT,4,rep,2,1559764
2006,CT,5,dem,1,1658464
2006,CT,5,dem,3,966077
2006,CT,5,dem,2,2104162
2006,CT,5,rep,1,23451
2006,CT,5,rep,5,99
2006,CT,5,rep,3,458153
2006,CT,5,rep,2,1861395
2006,DE,1,dem,1,42043
2006,DE,1,rep,1,51851
2006,FL,4,dem,1,6802
2006,FL,4,rep,1,175425
2006,FL,5,dem,1,13659
2006,FL,5,rep,1,2613
2006,FL,6,dem,1,22841
2006,FL,6,rep,1,30153
2006,FL,10,dem,1,21658
2006,FL,10,rep,1,11937
2006,FL,11,dem,1,567425
2006,FL,11,dem,5,1563
2006,FL,11,rep,1,1160
2006,FL,13,dem,1,16492
2006,FL,13,dem,3,238019
2006,FL,13,rep,1,59680
2006,FL,13,rep,3,18625
2006,FL,13,rep,2,68887
2006,FL,14,dem,1,14382
2006,FL,14,rep,1,1780
2006,FL,15,dem,1,44994
2006,FL,15,rep,1,225665
2006,FL,18,dem,1,1476
2006,FL,18,rep,1,348396
2006,FL,18,rep,3,9852
2006,FL,22,dem,1,3165558
2006,FL,22,dem,5,4
2006,FL,22,dem,3,27078
2006,FL,22,dem,2,2310502
2006,FL,22,rep,1,3555782
2006,FL,22,rep,3,218420
2006,FL,22,rep,2,3329044
2006,FL,24,dem,1,33058
2006,FL,24,rep,1,19088
2006,FL,25,dem,1,4364
2006,FL,25,rep,1,68129
2006,GA,1,dem,1,23460
2006,GA,1,dem,5,2111
2006,GA,1,rep,1,243918
2006,GA,2,dem,1,108024
2006,GA,2,rep,1,6704
2006,GA,3,dem,1,3849
2006,GA,3,rep,1,1885
2006,GA,4,dem,1,205568
2006,GA,4,rep,1,11900
2006,GA,6,dem,1,39734
2006,GA,6,rep,1,10133
2006,GA,6,rep,3,200000
2006,GA,8,dem,1,46954
2006,GA,8,dem,3,83
2006,GA,8,dem,2,214242
2006,GA,8,rep,1,16337
2006,GA,8,rep,3,2599
2006,GA,8,rep,2,659940
2006,GA,13,dem,1,10802
2006,GA,13,rep,1,99979
2006,GA,13,rep,3,658
2006,HI,1,dem,1,21539
2006,HI,1,rep,1,6944
2006,IA,1,dem,1,989565
2006,IA,1,dem,5,6569
2006,IA,1,dem,3,39257
2006,IA,1,dem,2,1802916
2006,IA,1,rep,1,2356435
2006,IA,1,rep,3,148271
2006,IA,1,rep,2,2396900
2006,IA,2,dem,1,89136
2006,IA,2,rep,1,154860
2006,IA,2,rep,2,21000
2006,IA,4,dem,1,142800
2006,IA,4,rep,1,467786
2006,IA,5,dem,1,34207
2006,IA,5,rep,1,185705
2006,ID,1,dem,1,377275
2006,ID,1,dem,3,30690
2006,ID,1,dem,2,40000
2006,ID,1,rep,1,266211
2006,ID,1,rep,3,506080
2006,ID,1,rep,2,604291
2006,IL,6,dem,1,9569
2006,IL,6,dem,5,371
2006,IL,6,dem,3,584420
2006,IL,6,dem,2,3166479
2006,IL,6,rep,1,5045
2006,IL,6,rep,3,22426
2006,IL,6,rep,2,3350032
2006,IL,8,dem,1,5537
2006,IL,8,dem,5,371
2006,IL,8,dem,3,465568
2006,IL,8,dem,2,1264197
2006,IL,8,rep,1,3273373
2006,IL,8,rep,3,72576
2006,IL,8,rep,2,2363122
2006,IL,10,dem,1,981676
2006,IL,10,dem,3,29477
2006,IL,10,dem,2,157776
2006,IL,10,rep,1,246537
2006,IL,10,rep,5,352
2006,IL,10,rep,3,986
2006,IL,11,dem,1,550
2006,IL,11,rep,1,10188
2006,IL,13,dem,1,108984
2006,IL,13,rep,1,125577
2006,IL,14,dem,1,93945
2006,IL,14,dem,3,5000
2006,IL,14,rep,1,306274
2006,IL,15,dem,1,115556
2006,IL,15,dem,5,317
2006,IL,15,rep,1,81018
2006,IL,16,dem,1,16185
2006,IL,16,dem,5,317
2006,IL,16,rep,1,270867
2006,IL,17,dem,1,193453
2006,IL,17,dem,5,317
2006,IL,17,dem,3,134727
2006,IL,17,dem,2,36292
