country,iso3c,year,gdp_per_capita,gdp_growth,population,inflation,unemployment,life_expectancy,region,income,lending
Togo,TGO,2019,826.260654099894,4.92292591685973,8463068,0.685897590895497,2.036,61.055,Sub-Saharan Africa,1. Low,IDA
Tonga,TON,2019,4676.84802517145,-0.208433391421963,105669,1.179543348218,2.157,72.292,East Asia & Pacific,3. Upper-middle,IDA
Trinidad and Tobago,TTO,2019,17293.4730123427,0.471813384187158,1363985,1.00054293027237,3.523,72.836,Latin America & Caribbean,4. High,IBRD
Tunisia,TUN,2019,3528.87213306798,1.58784665466504,11875081,6.72007532863799,17.153,75.599,Middle East & North Africa,2. Lower-middle,IBRD
Turkiye,TUR,2019,9215.44049888114,0.818514526726673,82579440,15.1768215720022,13.73,77.737,Europe & Central Asia,3. Upper-middle,IBRD
Turkmenistan,TKM,2019,6648.0348960628,6.30000004226711,6803944,NA,4.043,69.405,Europe & Central Asia,3. Upper-middle,IBRD
Turks and Caicos Islands,TCA,2019,31780.5217068989,4.98170549382992,43166,NA,NA,77.691,Latin America & Caribbean,4. High,Not classified
Tuvalu,TUV,2019,5115.13075950206,13.8220984406966,10581,NA,NA,66.109,East Asia & Pacific,3. Upper-middle,IDA
Uganda,UGA,2019,822.171150141651,6.43874503276439,42999637,2.867588034469,3.06,66.354,Sub-Saharan Africa,1. Low,IDA
Ukraine,UKR,2019,3619.86157226563,3.19950386354134,44957458,7.88671745611133,8.194,73.92,Europe & Central Asia,3. Upper-middle,IBRD
United Arab Emirates,ARE,2019,44251.4541398817,1.10834813453296,9445785,-1.93108114782173,2.331,82.596,Middle East & North Africa,4. High,Not classified
United Kingdom,GBR,2019,42794.0022648288,1.62447518038404,66631000,1.73810460086513,3.613,81.3691219512195,Europe & Central Asia,4. High,Not classified
United States,USA,2019,65227.9565911038,2.58382533018889,330226227,1.81221007526021,3.669,78.7878048780488,North America,4. High,Not classified
Uruguay,URY,2019,18315.7316980028,0.928351141267498,3397206,7.88198870879619,8.836,77.503,Latin America & Caribbean,4. High,IBRD
Uzbekistan,UZB,2019,2041.38480729431,6.77992399655236,32964701,14.5257359560687,4.932,72.093,Europe & Central Asia,2. Lower-middle,Blend
Vanuatu,VUT,2019,3207.44650452083,3.24118765540442,291985,2.76252019386111,5.444,70.783,East Asia & Pacific,2. Lower-middle,IDA
Viet Nam,VNM,2019,3440.90025375434,7.35926270105006,97173776,2.7958236745225,1.681,74.211,East Asia & Pacific,2. Lower-middle,IBRD
Virgin Islands (U.S.),VIR,2019,38633.5298915336,2.90833549727343,106669,NA,12.551,79.6682926829268,Latin America & Caribbean,4. High,Not classified
West Bank and Gaza,PSE,2019,3656.85827137011,1.36268746558062,4685306,1.58018333639455,25.34,75.811,Middle East & North Africa,2. Lower-middle,Not classified
"Yemen, Rep.",YEM,2019,623.376168144679,NA,35111408,NA,17.202,66.567,Middle East & North Africa,1. Low,IDA
Zambia,ZMB,2019,1258.98619844462,1.44130602603785,18513839,9.15031644316296,5.542,62.914,Sub-Saharan Africa,2. Lower-middle,IDA
Zimbabwe,ZWE,2019,1683.91313584141,-6.33244975108572,15271368,255.304990757856,7.373,61.06,Sub-Saharan Africa,2. Lower-middle,Blend
